# step  reward  validity
# model=llama-3.2-1b  task=Mixed  seed=seed_42
# classification=transient  size_group=small
615  1.3600  0.6800
616  1.3200  0.6600
617  1.3200  0.6600
618  1.3200  0.6600
619  1.3200  0.6600
620  1.3200  0.6600
621  1.3200  0.6600
622  1.3200  0.6600
623  1.2800  0.6400
624  1.2800  0.6400
625  1.2800  0.6400
626  1.2400  0.6200
627  1.2000  0.6000
628  1.2000  0.6000
629  1.2000  0.6000
630  1.2000  0.6000
631  1.2000  0.6000
632  1.2400  0.6200
633  1.2400  0.6200
634  1.2000  0.6000
635  1.2400  0.6200
636  1.2000  0.6000
637  1.2000  0.6000
638  1.2400  0.6200
639  1.2000  0.6000
640  1.2000  0.6000
641  1.1600  0.5800
642  1.2000  0.6000
643  1.2400  0.6200
644  1.2400  0.6200
645  1.2400  0.6200
646  1.2000  0.6000
647  1.2000  0.6000
648  1.1600  0.5800
649  1.1200  0.5600
650  1.1200  0.5600
651  1.1200  0.5600
652  1.1200  0.5600
653  1.0800  0.5400
654  1.0800  0.5400
655  1.0400  0.5200
656  1.0400  0.5200
657  1.0400  0.5200
658  1.0000  0.5000
659  1.0000  0.5000
660  0.9600  0.4800
661  0.9200  0.4600
662  0.8800  0.4400
663  0.8400  0.4200
664  0.8400  0.4200
665  0.8800  0.4400
666  0.8800  0.4400
667  0.8400  0.4200
668  0.8400  0.4200
669  0.8800  0.4400
670  0.8400  0.4200
671  0.8400  0.4200
672  0.8400  0.4200
673  0.8800  0.4400
674  0.9200  0.4600
675  0.9600  0.4800
676  0.9600  0.4800
677  1.0000  0.5000
678  1.0400  0.5200
679  1.0000  0.5000
680  0.9600  0.4800
681  0.9200  0.4600
682  0.8800  0.4400
683  0.8800  0.4400
684  0.8800  0.4400
685  0.8800  0.4400
686  0.9200  0.4600
687  0.8800  0.4400
688  0.8800  0.4400
689  0.8800  0.4400
690  0.8800  0.4400
691  0.8800  0.4400
692  0.8800  0.4400
693  0.8400  0.4200
694  0.8400  0.4200
695  0.8000  0.4000
696  0.8400  0.4200
697  0.8800  0.4400
698  0.8800  0.4400
699  0.8800  0.4400
700  0.8800  0.4400
701  0.8400  0.4200
702  0.8800  0.4400
703  0.8800  0.4400
704  0.8400  0.4200
705  0.8400  0.4200
706  0.8000  0.4000
707  0.8000  0.4000
708  0.8000  0.4000
709  0.7600  0.3800
710  0.8000  0.4000
711  0.8400  0.4200
712  0.8400  0.4200
713  0.8400  0.4200
714  0.8000  0.4000
715  0.8000  0.4000
716  0.8000  0.4000
717  0.8000  0.4000
718  0.7600  0.3800
719  0.7600  0.3800
720  0.7600  0.3800
721  0.7600  0.3800
722  0.8000  0.4000
723  0.8000  0.4000
724  0.7600  0.3800
725  0.7200  0.3600
726  0.7600  0.3800
727  0.7600  0.3800
728  0.7200  0.3600
729  0.7200  0.3600
730  0.7200  0.3600
731  0.7200  0.3600
732  0.7200  0.3600
733  0.7200  0.3600
734  0.7200  0.3600
735  0.7200  0.3600
736  0.7200  0.3600
737  0.7200  0.3600
738  0.6800  0.3400
739  0.6800  0.3400
740  0.6400  0.3200
741  0.6800  0.3400
742  0.6400  0.3200
743  0.6400  0.3200
744  0.6000  0.3000
745  0.6000  0.3000
746  0.6000  0.3000
747  0.5600  0.2800
748  0.5600  0.2800
749  0.5600  0.2800
750  0.5600  0.2800
751  0.5600  0.2800
752  0.5200  0.2600
753  0.5200  0.2600
754  0.5200  0.2600
755  0.5200  0.2600
756  0.5200  0.2600
757  0.4800  0.2400
758  0.4800  0.2400
759  0.4800  0.2400
760  0.4400  0.2200
761  0.4000  0.2000
762  0.4000  0.2000
763  0.4000  0.2000
764  0.4000  0.2000
765  0.3600  0.1800
766  0.3600  0.1800
767  0.3600  0.1800
768  0.3600  0.1800
769  0.3200  0.1600
770  0.3200  0.1600
771  0.3200  0.1600
772  0.2800  0.1400
773  0.2400  0.1200
774  0.2400  0.1200
775  0.2400  0.1200
776  0.2000  0.1000
777  0.1600  0.0800
778  0.1600  0.0800
779  0.1600  0.0800
780  0.1600  0.0800
781  0.1600  0.0800
782  0.1600  0.0800
783  0.1600  0.0800
784  0.1600  0.0800
785  0.1200  0.0600
786  0.0800  0.0400
787  0.0800  0.0400
788  0.0800  0.0400
789  0.0800  0.0400
790  0.0800  0.0400
791  0.0400  0.0200
792  0.0400  0.0200
793  0.0400  0.0200
794  0.0400  0.0200
795  0.0400  0.0200
796  0.0000  0.0000
797  0.0000  0.0000
798  0.0000  0.0000
799  0.0000  0.0000
800  0.0000  0.0000
801  0.0000  0.0000
802  0.0000  0.0000
803  0.0000  0.0000
804  0.0000  0.0000
805  0.0000  0.0000
806  0.0000  0.0000
807  0.0000  0.0000
808  0.0000  0.0000
809  0.0000  0.0000
810  0.0000  0.0000
811  0.0000  0.0000
812  0.0000  0.0000
813  0.0000  0.0000
814  0.0000  0.0000
815  0.0000  0.0000
816  0.0000  0.0000
817  0.0000  0.0000
818  0.0000  0.0000
819  0.0000  0.0000
820  0.0000  0.0000
821  0.0000  0.0000
822  0.0000  0.0000
823  0.0000  0.0000
824  0.0000  0.0000
825  0.0000  0.0000
826  0.0000  0.0000
827  0.0000  0.0000
828  0.0000  0.0000
829  0.0000  0.0000
830  0.0000  0.0000
831  0.0000  0.0000
832  0.0000  0.0000
833  0.0000  0.0000
834  0.0000  0.0000
835  0.0000  0.0000
836  0.0000  0.0000
837  0.0000  0.0000
838  0.0000  0.0000
839  0.0000  0.0000
840  0.0000  0.0000
841  0.0000  0.0000
842  0.0000  0.0000
843  0.0000  0.0000
844  0.0000  0.0000
845  0.0000  0.0000
846  0.0000  0.0000
847  0.0000  0.0000
848  0.0000  0.0000
849  0.0000  0.0000
850  0.0000  0.0000
851  0.0000  0.0000
852  0.0000  0.0000
853  0.0000  0.0000
854  0.0000  0.0000
855  0.0000  0.0000
856  0.0000  0.0000
857  0.0000  0.0000
858  0.0000  0.0000
859  0.0000  0.0000
860  0.0000  0.0000
861  0.0000  0.0000
862  0.0000  0.0000
863  0.0000  0.0000
864  0.0000  0.0000
865  0.0000  0.0000
866  0.0000  0.0000
867  0.0000  0.0000
868  0.0000  0.0000
869  0.0000  0.0000
870  0.0000  0.0000
871  0.0000  0.0000
872  0.0000  0.0000
873  0.0000  0.0000
874  0.0000  0.0000
875  0.0000  0.0000
876  0.0000  0.0000
877  0.0000  0.0000
878  0.0000  0.0000
879  0.0000  0.0000
880  0.0000  0.0000
881  0.0000  0.0000
882  0.0000  0.0000
883  0.0000  0.0000
884  0.0000  0.0000
885  0.0000  0.0000
886  0.0000  0.0000
887  0.0000  0.0000
888  0.0000  0.0000
889  0.0000  0.0000
890  0.0000  0.0000
891  0.0000  0.0000
892  0.0000  0.0000
893  0.0000  0.0000
894  0.0000  0.0000
895  0.0000  0.0000
896  0.0000  0.0000
897  0.0000  0.0000
898  0.0000  0.0000
899  0.0000  0.0000
900  0.0000  0.0000
901  0.0000  0.0000
902  0.0000  0.0000
903  0.0000  0.0000
904  0.0000  0.0000
905  0.0000  0.0000
906  0.0000  0.0000
907  0.0000  0.0000
908  0.0000  0.0000
909  0.0000  0.0000
910  0.0000  0.0000
911  0.0000  0.0000
912  0.0000  0.0000
913  0.0000  0.0000
914  0.0000  0.0000
915  0.0000  0.0000
916  0.0000  0.0000
917  0.0000  0.0000
918  0.0000  0.0000
919  0.0000  0.0000
920  0.0000  0.0000
921  0.0000  0.0000
922  0.0000  0.0000
923  0.0000  0.0000
924  0.0000  0.0000
925  0.0000  0.0000
926  0.0000  0.0000
927  0.0000  0.0000
928  0.0000  0.0000
929  0.0000  0.0000
930  0.0000  0.0000
931  0.0000  0.0000
932  0.0000  0.0000
933  0.0000  0.0000
934  0.0000  0.0000
