# step  reward  validity
# model=qwen3-4b  task=T5  seed=seed_42
# classification=transient  size_group=medium
895  0.6400  0.3200
896  0.6400  0.3200
897  0.6000  0.3000
898  0.6400  0.3200
899  0.6000  0.3000
900  0.6000  0.3000
901  0.5600  0.2800
902  0.5600  0.2800
903  0.5200  0.2600
904  0.5200  0.2600
905  0.5200  0.2600
906  0.5200  0.2600
907  0.5200  0.2600
908  0.5200  0.2600
909  0.4800  0.2400
910  0.4800  0.2400
911  0.5200  0.2600
912  0.5600  0.2800
913  0.6000  0.3000
914  0.6400  0.3200
915  0.6400  0.3200
916  0.6400  0.3200
917  0.6000  0.3000
918  0.6000  0.3000
919  0.6000  0.3000
920  0.6000  0.3000
921  0.6400  0.3200
922  0.6000  0.3000
923  0.5600  0.2800
924  0.5600  0.2800
925  0.5600  0.2800
926  0.5600  0.2800
927  0.5200  0.2600
928  0.5200  0.2600
929  0.5200  0.2600
930  0.5200  0.2600
931  0.5600  0.2800
932  0.5200  0.2600
933  0.5600  0.2800
934  0.5600  0.2800
935  0.5600  0.2800
936  0.5600  0.2800
937  0.6000  0.3000
938  0.6000  0.3000
939  0.6000  0.3000
940  0.6400  0.3200
941  0.6800  0.3400
942  0.6800  0.3400
943  0.6800  0.3400
944  0.7200  0.3600
945  0.7200  0.3600
946  0.7200  0.3600
947  0.7200  0.3600
948  0.7200  0.3600
949  0.7600  0.3800
950  0.7600  0.3800
951  0.7600  0.3800
952  0.7600  0.3800
953  0.7600  0.3800
954  0.7600  0.3800
955  0.8000  0.4000
956  0.8000  0.4000
957  0.8400  0.4200
958  0.8800  0.4400
959  0.9200  0.4600
960  0.8800  0.4400
961  0.8800  0.4400
962  0.8800  0.4400
963  0.8800  0.4400
964  0.8400  0.4200
965  0.8400  0.4200
966  0.8400  0.4200
967  0.8800  0.4400
968  0.8800  0.4400
969  0.9200  0.4600
970  0.9200  0.4600
971  0.9200  0.4600
972  0.9600  0.4800
973  0.9600  0.4800
974  0.9600  0.4800
975  1.0000  0.5000
976  0.9600  0.4800
977  0.9600  0.4800
978  1.0000  0.5000
979  1.0000  0.5000
980  1.0400  0.5200
981  1.0000  0.5000
982  1.0000  0.5000
983  0.9600  0.4800
984  1.0000  0.5000
985  1.0400  0.5200
986  1.0400  0.5200
987  1.0400  0.5200
988  1.0400  0.5200
989  1.0800  0.5400
990  1.0800  0.5400
991  1.0400  0.5200
992  1.0400  0.5200
993  1.0800  0.5400
994  1.0400  0.5200
995  1.0000  0.5000
996  1.0000  0.5000
997  1.0400  0.5200
998  1.0400  0.5200
999  1.0000  0.5000
