step  llama_32_1b_mean  llama_32_1b_std  llama_32_3b_mean  llama_32_3b_std  qwen25_3b_mean  qwen25_3b_std  phi_3_mini_mean  phi_3_mini_std  qwen3_4b_mean  qwen3_4b_std  yi_15_6b_mean  yi_15_6b_std  mistral_7b_v03_mean  mistral_7b_v03_std  ministral_8b_mean  ministral_8b_std  llama_31_8b_mean  llama_31_8b_std  gemma_2_9b_mean  gemma_2_9b_std
750  0.9733  0.0189  1.0000  0.0000  0.7467  0.1700  0.0000  0.0000  1.0000  0.0000  0.9267  0.0660  0.6667  0.4714  0.9733  0.0377  1.0000  0.0000  1.0000  0.0000
760  0.9733  0.0189  1.0000  0.0000  0.7800  0.1497  0.0000  0.0000  1.0000  0.0000  0.9267  0.0573  0.6667  0.4714  0.9800  0.0283  1.0000  0.0000  1.0000  0.0000
770  0.9733  0.0189  1.0000  0.0000  0.8267  0.1204  0.0000  0.0000  1.0000  0.0000  0.9467  0.0499  0.6667  0.4714  0.9800  0.0283  1.0000  0.0000  1.0000  0.0000
780  0.9733  0.0249  1.0000  0.0000  0.8333  0.0957  0.0000  0.0000  1.0000  0.0000  0.9467  0.0340  0.6667  0.4714  0.9800  0.0283  1.0000  0.0000  1.0000  0.0000
790  0.9667  0.0189  1.0000  0.0000  0.8467  0.0984  0.0000  0.0000  1.0000  0.0000  0.9467  0.0340  0.6667  0.4714  0.9800  0.0283  1.0000  0.0000  1.0000  0.0000
800  0.9867  0.0094  1.0000  0.0000  0.8800  0.0748  0.0000  0.0000  1.0000  0.0000  0.9733  0.0094  0.6667  0.4714  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000
810  0.9867  0.0094  1.0000  0.0000  0.8933  0.0754  0.0000  0.0000  1.0000  0.0000  0.9867  0.0189  0.6667  0.4714  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000
820  0.9867  0.0094  1.0000  0.0000  0.9000  0.0712  0.0000  0.0000  1.0000  0.0000  0.9800  0.0163  0.6667  0.4714  1.0000  0.0000  0.9933  0.0094  1.0000  0.0000
830  0.9933  0.0094  1.0000  0.0000  0.9400  0.0432  0.0000  0.0000  1.0000  0.0000  0.9933  0.0094  0.6667  0.4714  1.0000  0.0000  0.9933  0.0094  1.0000  0.0000
840  1.0000  0.0000  1.0000  0.0000  0.9600  0.0283  0.0000  0.0000  1.0000  0.0000  0.9933  0.0094  0.6667  0.4714  1.0000  0.0000  0.9933  0.0094  1.0000  0.0000
850  0.9800  0.0163  1.0000  0.0000  0.9733  0.0189  0.0000  0.0000  1.0000  0.0000  0.9933  0.0094  0.6667  0.4714  0.9867  0.0189  0.9933  0.0094  1.0000  0.0000
860  0.9800  0.0163  1.0000  0.0000  0.9733  0.0249  0.0000  0.0000  1.0000  0.0000  0.9867  0.0189  0.6667  0.4714  0.9800  0.0283  0.9933  0.0094  1.0000  0.0000
870  0.9800  0.0163  1.0000  0.0000  0.9667  0.0471  0.0000  0.0000  1.0000  0.0000  0.9933  0.0094  0.6667  0.4714  0.9800  0.0283  1.0000  0.0000  1.0000  0.0000
880  0.9667  0.0189  1.0000  0.0000  0.9733  0.0249  0.0000  0.0000  1.0000  0.0000  0.9933  0.0094  0.6667  0.4714  0.9800  0.0283  1.0000  0.0000  1.0000  0.0000
890  0.9467  0.0340  1.0000  0.0000  0.9667  0.0340  0.0000  0.0000  1.0000  0.0000  0.9867  0.0189  0.6667  0.4714  0.9800  0.0283  1.0000  0.0000  1.0000  0.0000
900  0.9667  0.0249  1.0000  0.0000  0.9667  0.0340  0.0000  0.0000  1.0000  0.0000  0.9800  0.0283  0.6667  0.4714  0.9933  0.0094  1.0000  0.0000  1.0000  0.0000
910  0.9667  0.0249  1.0000  0.0000  0.9667  0.0189  0.0000  0.0000  1.0000  0.0000  0.9867  0.0189  0.6667  0.4714  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000
920  0.9667  0.0249  1.0000  0.0000  0.9733  0.0094  0.0000  0.0000  1.0000  0.0000  0.9867  0.0189  0.6667  0.4714  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000
930  0.9800  0.0163  1.0000  0.0000  0.9733  0.0094  0.0000  0.0000  1.0000  0.0000  0.9733  0.0377  0.6667  0.4714  0.9933  0.0094  1.0000  0.0000  1.0000  0.0000
940  1.0000  0.0000  1.0000  0.0000  0.9733  0.0094  0.0000  0.0000  1.0000  0.0000  0.9733  0.0377  0.6667  0.4714  0.9933  0.0094  1.0000  0.0000  1.0000  0.0000
950  1.0000  0.0000  1.0000  0.0000  0.9733  0.0094  0.0000  0.0000  1.0000  0.0000  0.9800  0.0283  0.6667  0.4714  0.9933  0.0094  1.0000  0.0000  1.0000  0.0000
960  0.9800  0.0163  0.9933  0.0094  0.9800  0.0163  0.0000  0.0000  0.9933  0.0094  0.9733  0.0377  0.6667  0.4714  0.9733  0.0377  1.0000  0.0000  1.0000  0.0000
970  0.9800  0.0163  0.9933  0.0094  0.9867  0.0094  0.0000  0.0000  0.9933  0.0094  0.9733  0.0377  0.6667  0.4714  0.9733  0.0377  1.0000  0.0000  1.0000  0.0000
980  0.9800  0.0163  0.9933  0.0094  0.9933  0.0094  0.0000  0.0000  0.9933  0.0094  0.9800  0.0283  0.6667  0.4714  0.9800  0.0283  1.0000  0.0000  1.0000  0.0000
990  0.9667  0.0189  0.9933  0.0094  1.0000  0.0000  0.0000  0.0000  0.9933  0.0094  0.9867  0.0189  0.6667  0.4714  0.9800  0.0283  1.0000  0.0000  1.0000  0.0000
