step  llama_32_1b_mean  llama_32_1b_std  llama_32_3b_mean  llama_32_3b_std  qwen25_3b_mean  qwen25_3b_std  phi_3_mini_mean  phi_3_mini_std  qwen3_4b_mean  qwen3_4b_std  yi_15_6b_mean  yi_15_6b_std  mistral_7b_v03_mean  mistral_7b_v03_std  ministral_8b_mean  ministral_8b_std  llama_31_8b_mean  llama_31_8b_std  gemma_2_9b_mean  gemma_2_9b_std  gemma_3_12b_mean  gemma_3_12b_std
821  1.0000  0.0000  0.9933  0.0094  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  0.9667  0.0249  0.9933  0.0094  1.0000  0.0000  0.9933  0.0094  1.0000  0.0000  1.0000  0.0000
831  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  0.9667  0.0249  0.9933  0.0094  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000
841  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  0.9933  0.0094  1.0000  0.0000  0.9867  0.0094  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000
851  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  0.9933  0.0094  1.0000  0.0000  0.9867  0.0094  1.0000  0.0000  1.0000  0.0000  0.9933  0.0094  1.0000  0.0000  1.0000  0.0000
861  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  0.9933  0.0094  1.0000  0.0000  0.9867  0.0094  1.0000  0.0000  1.0000  0.0000  0.9933  0.0094  1.0000  0.0000  1.0000  0.0000
871  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  0.9933  0.0094  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  0.9933  0.0094  1.0000  0.0000  1.0000  0.0000
881  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  0.9933  0.0094  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  0.9933  0.0094  1.0000  0.0000  1.0000  0.0000
891  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  0.9933  0.0094  1.0000  0.0000  1.0000  0.0000
901  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000
911  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  0.9867  0.0189  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000
921  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  0.9933  0.0094  1.0000  0.0000  1.0000  0.0000  0.9867  0.0189  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000
931  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  0.9933  0.0094  1.0000  0.0000  1.0000  0.0000  0.9867  0.0189  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000
941  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  0.9800  0.0163  1.0000  0.0000  1.0000  0.0000  0.9867  0.0189  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000
951  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  0.9800  0.0163  1.0000  0.0000  1.0000  0.0000  0.9867  0.0189  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000
961  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  0.9800  0.0163  1.0000  0.0000  0.9933  0.0094  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000
971  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  0.9867  0.0094  1.0000  0.0000  0.9933  0.0094  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000
981  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  0.9867  0.0094  1.0000  0.0000  0.9867  0.0189  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000
991  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  0.9800  0.0163  0.9933  0.0094  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000
